point_name,point_type,connection_level,irish_grid_easting_m,irish_grid_northing_m,latitude,longitude,max_export_capacity_mw,time_series_actual_mw_public,semo_dispatch_join_candidate,coordinate_quality,source_date,source_url,notes
Wolf Bog Wind Farm,Wind farm,Distribution - 33 kV,323109,396692,54.802964,-6.086314,10.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Bessy Bell 2 Wind Farm,Wind farm,Distribution - 33 kV,239622,381549,54.680476,-7.386488,9.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Owenreagh 2 Wind Farm,Wind farm,Distribution - 33 kV,242727,395952,54.809594,-7.336241,5.1,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Slieve Divena 1 Wind Farm,Wind farm,Distribution - 33 kV,258465,362646,54.508857,-7.09816,30.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Garves Wind Farm,Wind farm,Distribution - 33 kV,299275,418126,55.000707,-6.449401,15.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Gruig Wind Farm,Wind farm,Distribution - 33 kV,311607,421152,55.025267,-6.255606,25.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Kilroot Power Station KGT3,Power station unit,Transmission - 275 kV,343857,388613,54.724932,-5.767917,42.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Kilroot Power Station KGT4,Power station unit,Transmission - 275 kV,343857,388613,54.724932,-5.767917,42.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Hunters Hill Wind Farm,Wind farm,Distribution - 33 kV,243368,354658,54.438618,-7.332378,20.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Crockagarran Wind Farm,Wind farm,Distribution - 33 kV,263414,367749,54.554098,-7.020671,18.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Curryfree Wind Farm,Wind farm,Distribution - 33 kV,244222,409385,54.930121,-7.310936,15.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Screggagh Wind Farm,Wind farm,Distribution - 33 kV,242915,356301,54.453415,-7.339121,20.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Slieve Kirk Wind Farm,Wind farm,Transmission - 110 kV,247117,408040,54.917775,-7.266002,73.6,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Church Hill Wind Farm,Wind farm,Distribution - 33 kV,218230,378549,54.654753,-7.718309,18.4,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Crighshane Wind Farm,Wind farm,Distribution - 33 kV,213120,377157,54.642407,-7.79754,32.2,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Carrickatane Wind Farm,Wind farm,Distribution - 33 kV,242952,407525,54.913525,-7.331023,20.7,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Carn Hill Wind Farm,Wind farm,Distribution - 33 kV,334181,388065,54.722684,-5.918238,13.8,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Dunmore Wind Farm,Wind farm,Distribution - 33 kV,275350,428430,55.097433,-6.820452,21.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Dunbeg Wind Farm,Wind farm,Distribution - 33 kV,275482,427244,55.086762,-6.818699,42.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Thornog Wind Farm,Wind farm,Distribution - 33 kV,224550,371290,54.589279,-7.621001,20.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Molly Mountain Wind Farm,Wind farm,Distribution - 33 kV,223773,327723,54.197944,-7.636499,15.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Lisahally Power Station (Biomass),Biomass generation,Distribution - 33 kV,247710,421833,55.041605,-7.254462,17.6,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Monnaboy Wind Farm,Wind farm,Distribution - 33 kV,257075,415629,54.984899,-7.109227,12.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Seegronan Wind Farm,Wind farm,Distribution - 33 kV,219630,378150,54.651116,-7.696645,14.1,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Cloonty Wind Farm,Wind farm,Distribution - 33 kV,296770,435929,55.161057,-6.482488,9.2,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Tievenameenta Wind Farm,Wind farm,Distribution - 33 kV,216348,377345,54.644002,-7.747534,34.5,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Ora More Wind Farm,Wind farm,Distribution - 33 kV,207457,342537,54.331522,-7.886121,15.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Cregganconroe Wind Farm,Wind farm,Distribution - 33 kV,266558,374262,54.612192,-6.970614,13.8,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Eglish Wind Farm,Wind farm,Distribution - 33 kV,250484,405097,54.891013,-7.214017,15.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Eshmore Wind Farm,Wind farm,Distribution - 33 kV,265856,366133,54.539272,-6.983297,7.05,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Glenbuck Wind Farm,Wind farm,Distribution - 33 kV,300716,416130,54.982495,-6.427593,9.2,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Gortfinbar Wind Farm,Wind farm,Distribution - 33 kV,263013,366689,54.544627,-7.027095,15.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Long Mountain Wind Farm,Wind farm,Distribution - 33 kV,301338,416154,54.982585,-6.417873,27.6,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Altamuskin Wind Farm,Wind farm,Distribution - 33 kV,257901,363713,54.518506,-7.106656,14.1,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Crockandun Wind Farm,Wind farm,Distribution - 33 kV,278474,388828,54.7413,-6.78232,15.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Crockbaravally Wind Farm,Wind farm,Distribution - 33 kV,262424,363592,54.516883,-7.03685,7.5,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Lisburn Solar Park (Ballinderry Road),Solar farm,Distribution - 33 kV,234937,321569,54.142022,-7.466166,16.92,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Slieve Divena 2 Wind Farm,Wind farm,Distribution - 33 kV,257992,363192,54.513816,-7.105354,18.8,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Bann Road PV Farm,Solar farm,Distribution - 33 kV,296443,414004,54.964249,-6.495024,29.81,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Inishative Wind Farm,Wind farm,Distribution - 33 kV,265986,369058,54.565526,-6.980634,13.8,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Lough Road PV Farm,Solar farm,Distribution - 33 kV,313743,369255,54.558824,-6.242561,21.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Millar Farm PV,Solar farm,Distribution - 33 kV,312848,389746,54.74301,-6.248491,6.27,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Shantavany Scotch Wind Farm,Wind farm,Distribution - 33 kV,258801,360690,54.491249,-7.093362,16.1,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Altaveedan Wind Farm,Wind farm,Distribution - 33 kV,310978,426900,55.077014,-6.263203,18.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Crockdun Wind Farm,Wind farm,Distribution - 33 kV,260197,376754,54.635372,-7.068539,12.5,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
